time,open,high,low,close,volumefrom,volumeto,MA7,MA21,EMA,RSI,day_of_week,month
2019-08-08,11975.03,12050.0,11451.0,11981.0,14887.11,175096475.65,11367.47,10462.60761904762,10837.475531456323,78.43642821315764,3,8
2019-08-09,11981.0,12040.0,11651.89,11856.1,11774.52,139265612.83,11556.482857142857,10525.371428571429,10934.48738560334,76.6782757121805,4,8
2019-08-10,11856.1,11969.99,11170.0,11280.95,13852.25,158766694.33,11622.224285714285,10550.129523809524,10967.483825069688,72.59657971669115,5,8
2019-08-11,11280.95,11585.0,11088.88,11540.76,7329.59,83345771.68,11702.688571428573,10595.370476190476,11022.081556015431,73.9484331463033,6,8
2019-08-12,11540.76,11555.55,11222.4,11389.28,6095.28,69403119.37,11641.23,10646.127142857144,11057.052836394914,71.99912666392589,0,8
2019-08-13,11389.28,11438.39,10746.0,10854.92,12500.34,137652572.5,11554.005714285715,10694.450952380952,11037.80209007159,63.337470420528945,1,8
2019-08-14,10854.92,10859.97,9888.88,10025.86,24889.58,257559660.93,11275.552857142859,10706.510952380953,10941.426652921915,49.39485389424916,2,8
2019-08-15,10025.86,10445.0,9470.0,10300.01,27939.83,278941692.76,11035.41142857143,10726.352857142858,10880.339352643638,48.94743013173767,3,8
2019-08-16,10300.01,10539.9,9739.99,10352.78,19532.6,198853384.83,10820.651428571427,10750.628095238095,10830.095604772814,48.18231144872491,4,8
2019-08-17,10352.78,10475.82,9978.0,10217.79,7308.0,74839686.49,10668.77142857143,10785.761904761905,10771.780785270641,43.72548081025452,5,8
2019-08-18,10217.79,10513.45,10066.66,10315.48,6794.78,70214743.56,10493.73142857143,10823.022857142858,10728.323567625817,43.02516935849214,6,8
2019-08-19,10315.48,10938.76,10265.0,10920.0,12220.39,130240108.95,10426.69142857143,10890.879523809524,10746.578465947168,40.02426586874693,0,8
2019-08-20,10920.0,10953.0,10555.7,10769.09,8820.94,94820017.47,10414.429999999998,10947.073809523808,10748.722421571247,41.912294149072075,1,8
2019-08-21,10769.09,10800.0,9841.59,10130.0,17445.29,177446467.8,10429.307142857142,10949.107142857143,10689.7964766597,29.198507277585463,2,8
