time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-09-14,188.85,189.32,180.4,181.65,59593.51,11047470.74,force_direct,
2019-09-15,189.3,190.99,186.3,188.85,69949.06,13203815.6,force_direct,
2019-09-16,197.59,199.55,188.23,189.3,112064.05,21674692.09,force_direct,
2019-09-17,207.95,215.0,195.67,197.59,180307.36,36821653.12,force_direct,
2019-09-18,210.27,217.49,207.5,207.95,111866.08,23796697.35,force_direct,
2019-09-19,220.8,224.71,200.98,210.27,167317.16,35524926.14,force_direct,
2019-09-20,218.06,222.38,212.0,220.8,91581.94,19883808.53,force_direct,
2019-09-21,214.8,221.61,213.35,218.06,65798.84,14272480.66,force_direct,
2019-09-22,211.1,215.45,206.02,214.8,64814.29,13619888.25,force_direct,
2019-09-23,200.8,211.6,198.18,211.1,92705.0,19015106.03,force_direct,
2019-09-24,166.26,202.72,157.75,200.8,405426.95,71299065.19,force_direct,
2019-09-25,170.0,175.25,162.25,166.26,183524.37,30922350.88,force_direct,
2019-09-26,165.85,171.0,152.11,170.0,188006.85,30675680.82,force_direct,
2019-09-27,174.44,177.24,161.19,165.85,109649.44,18389300.35,force_direct,
2019-09-28,173.9,176.0,168.21,174.44,75406.27,13058468.91,force_direct,
2019-09-29,169.38,175.26,164.34,173.9,72173.97,12216924.83,force_direct,
2019-09-30,181.17,181.85,165.2,169.38,126949.57,21972995.34,force_direct,
2019-10-01,176.15,185.89,173.85,181.17,97883.39,17613857.27,force_direct,
2019-10-02,180.82,181.66,174.15,176.15,73539.94,13016900.97,force_direct,
2019-10-03,175.05,181.26,169.59,180.82,70968.27,12429089.24,force_direct,
2019-10-04,175.97,179.69,170.77,175.05,52275.85,9167136.95,force_direct,
2019-10-05,176.73,177.05,172.27,175.97,32009.69,5603902.15,force_direct,
2019-10-06,170.18,177.12,167.5,176.73,57631.7,9908833.47,force_direct,
2019-10-07,180.26,182.5,168.61,170.18,90340.81,15989026.85,force_direct,
2019-10-08,180.72,185.3,177.42,180.26,67362.24,12185166.51,force_direct,
2019-10-09,193.26,196.09,179.2,180.72,147160.11,27810134.27,force_direct,
2019-10-10,191.79,194.85,187.29,193.26,86674.14,16601361.12,force_direct,
2019-10-11,180.84,197.93,179.23,191.79,121748.84,22694986.5,force_direct,
2019-10-12,179.86,184.87,177.27,180.84,57840.9,10497275.25,force_direct,
2019-10-13,181.18,184.75,178.63,179.86,51204.17,9309857.53,force_direct,
2019-10-14,186.85,187.91,180.52,181.18,60870.08,11254466.61,force_direct,
2019-10-15,180.58,188.58,176.48,186.85,119904.6,21747969.65,force_direct,
2019-10-16,174.5,181.2,171.7,180.58,83244.34,14599426.45,force_direct,
2019-10-17,177.31,179.71,172.79,174.5,67073.58,11823514.9,force_direct,
2019-10-18,172.96,177.49,168.34,177.31,80245.1,13867301.65,force_direct,
2019-10-19,172.09,175.5,169.72,172.96,47766.31,8262605.48,force_direct,
2019-10-20,175.49,176.8,169.11,172.09,43323.25,7511966.65,force_direct,
2019-10-21,174.37,178.0,171.45,175.49,69165.38,12032230.38,force_direct,
2019-10-22,171.3,175.4,170.47,174.37,41854.54,7243442.07,force_direct,
2019-10-23,162.49,174.05,153.0,171.3,204251.48,32921923.76,force_direct,
2019-10-24,160.67,164.0,158.9,162.49,56468.22,9111124.0,force_direct,
2019-10-25,181.66,187.74,160.57,160.67,158620.93,27865734.98,force_direct,
2019-10-26,180.03,199.5,173.86,181.66,241944.54,45261171.44,force_direct,
2019-10-27,184.41,189.18,176.84,180.03,85150.97,15619016.67,force_direct,
2019-10-28,182.02,190.0,181.0,184.41,83795.56,15400320.97,force_direct,
2019-10-29,191.1,193.41,181.72,182.02,67590.06,12691680.39,force_direct,
2019-10-30,183.38,192.2,180.05,191.1,74614.13,13811059.69,force_direct,
2019-10-31,182.38,185.47,177.81,183.38,63173.81,11498049.94,force_direct,
2019-11-01,183.19,184.99,177.39,182.38,61313.9,11123939.15,force_direct,
2019-11-02,183.25,186.19,181.91,183.19,29643.79,5445150.83,force_direct,
2019-11-03,181.73,185.0,179.11,183.25,23415.99,4256390.97,force_direct,
2019-11-04,186.25,189.5,180.45,181.73,52941.34,9840856.56,force_direct,
2019-11-05,188.88,192.47,181.76,186.25,71159.65,13388412.36,force_direct,
2019-11-06,191.13,194.6,187.87,188.88,53163.08,10129038.5,force_direct,
2019-11-07,186.42,192.27,184.14,191.13,44563.95,8348917.96,force_direct,
2019-11-08,183.62,188.09,180.71,186.42,66332.92,12209374.45,force_direct,
2019-11-09,184.77,185.7,182.21,183.62,31447.97,5790919.58,force_direct,
2019-11-10,188.88,192.0,183.41,184.77,44224.52,8330448.04,force_direct,
2019-11-11,184.65,190.0,183.77,188.88,34818.78,6486001.13,force_direct,
2019-11-12,186.98,187.27,182.07,184.65,41578.6,7696480.64,force_direct,
2019-11-13,187.72,189.31,185.08,186.98,33802.01,6321554.32,force_direct,
2019-11-14,184.55,188.45,182.75,187.72,81996.73,15149079.38,force_direct,
2019-11-15,179.82,186.59,177.0,184.55,97521.84,17670093.47,force_direct,
2019-11-16,182.25,183.17,178.95,179.82,32159.28,5837148.15,force_direct,
2019-11-17,183.88,186.26,180.0,182.25,34966.2,6423592.96,force_direct,
2019-11-18,177.85,183.95,173.56,183.88,57753.51,10351289.46,force_direct,
2019-11-19,175.73,178.14,172.38,177.85,45880.8,8029235.81,force_direct,
2019-11-20,174.35,177.25,173.26,175.73,48839.48,8564563.77,force_direct,
2019-11-21,160.82,175.49,155.0,174.35,142035.81,23227898.49,force_direct,
2019-11-22,149.97,162.65,137.8,160.82,282192.73,42410118.9,force_direct,
2019-11-23,152.0,154.54,146.37,149.97,88211.89,13293072.11,force_direct,
2019-11-24,139.99,153.19,138.53,152.0,86567.96,12585123.75,force_direct,
2019-11-25,145.91,151.69,131.8,139.99,223502.72,31855049.0,force_direct,
2019-11-26,147.83,149.9,143.57,145.91,72544.44,10641610.1,force_direct,
2019-11-27,153.0,155.89,141.02,147.83,129890.15,19349421.31,force_direct,
2019-11-28,151.01,155.0,149.31,153.0,56243.39,8571699.59,force_direct,
2019-11-29,154.75,157.73,150.5,151.01,82606.47,12742712.27,force_direct,
2019-11-30,151.78,155.45,149.6,154.75,45611.18,6938257.97,force_direct,
2019-12-01,150.97,152.67,145.97,151.78,59294.95,8836765.04,force_direct,
2019-12-02,148.97,151.65,146.82,150.97,42531.01,6321892.47,force_direct,
2019-12-03,147.33,150.0,145.67,148.97,39186.51,5806652.55,force_direct,
2019-12-04,145.5,153.0,143.17,147.33,100067.83,14733195.3,force_direct,
2019-12-05,148.18,148.95,143.8,145.5,48788.48,7150409.06,force_direct,
2019-12-06,148.82,149.85,145.75,148.18,45179.42,6677344.98,force_direct,
2019-12-07,147.43,149.88,147.2,148.82,22433.79,3327994.91,force_direct,
2019-12-08,150.68,152.0,146.36,147.43,34844.41,5208228.73,force_direct,
2019-12-09,147.3,151.47,146.69,150.68,46822.49,6982717.06,force_direct,
2019-12-10,145.54,148.22,143.81,147.3,42291.98,6182720.67,force_direct,
2019-12-11,143.29,146.29,142.01,145.54,32988.26,4752141.78,force_direct,
2019-12-12,144.69,146.12,139.1,143.29,71296.17,10164301.41,force_direct,
2019-12-13,144.7,145.13,142.76,144.69,40038.07,5775166.42,force_direct,
2019-12-14,141.73,145.03,141.11,144.7,35634.32,5097846.88,force_direct,
2019-12-15,142.38,143.99,139.8,141.73,38771.47,5505990.59,force_direct,
2019-12-16,132.36,142.53,129.03,142.38,112774.92,15174304.98,force_direct,
2019-12-17,121.83,132.66,119.5,132.36,190028.13,23910574.37,force_direct,
2019-12-18,132.89,134.81,116.25,121.83,203446.52,25542089.95,force_direct,
2019-12-19,128.18,134.11,125.68,132.89,93934.2,12002731.16,force_direct,
2019-12-20,128.37,129.32,125.71,128.18,44379.22,5655334.88,force_direct,
2019-12-21,127.09,128.45,126.63,128.37,25941.74,3303991.95,force_direct,
2019-12-22,132.4,133.22,126.89,127.09,40439.96,5271891.06,force_direct,
2019-12-23,127.78,135.24,126.16,132.4,62248.12,8175356.65,force_direct,
2019-12-24,127.71,129.5,126.5,127.78,34976.25,4471662.63,force_direct,
2019-12-25,124.96,127.77,123.16,127.71,45115.8,5635658.4,force_direct,
2019-12-26,125.49,132.06,124.06,124.96,51892.89,6577204.72,force_direct,
2019-12-27,126.23,126.7,122.15,125.49,39780.97,4977007.97,force_direct,
2019-12-28,127.91,129.6,125.8,126.23,47036.69,6007496.99,force_direct,
2019-12-29,134.3,137.85,127.22,127.91,64885.83,8609397.9,force_direct,
2019-12-30,131.1,135.97,129.79,134.3,58811.73,7808217.37,force_direct,
2019-12-31,128.54,133.19,127.6,131.1,85044.39,11033906.75,force_direct,
2020-01-01,130.19,132.68,128.12,128.54,57512.5,7508283.38,force_direct,
2020-01-02,126.81,130.19,125.83,130.19,49211.57,6293167.06,force_direct,
2020-01-03,134.17,134.93,125.52,126.81,88651.89,11639239.54,force_direct,
2020-01-04,134.14,135.75,132.5,134.17,31254.85,4179108.69,force_direct,
2020-01-05,135.31,138.97,134.14,134.14,45353.69,6185761.69,force_direct,
2020-01-06,144.19,144.51,134.78,135.31,91523.61,12875794.24,force_direct,
2020-01-07,143.08,145.25,138.79,144.19,96525.42,13788977.02,force_direct,
2020-01-08,140.6,148.0,137.03,143.08,101682.09,14426088.5,force_direct,
2020-01-09,137.71,141.38,135.12,140.6,61185.0,8450308.16,force_direct,
2020-01-10,144.72,145.81,135.26,137.71,137621.0,19453148.04,force_direct,
2020-01-11,142.63,148.0,142.0,144.72,52850.51,7648720.76,force_direct,
2020-01-12,146.6,146.6,141.83,142.63,35450.67,5124196.72,force_direct,
2020-01-13,143.51,147.0,142.1,146.6,44072.66,6330078.53,force_direct,
2020-01-14,165.76,170.83,143.45,143.51,258408.62,40726380.3,force_direct,
2020-01-15,166.29,172.18,159.13,165.76,165292.69,27320197.59,force_direct,
2020-01-16,163.93,167.28,158.17,166.29,88188.75,14304565.79,force_direct,
2020-01-17,169.59,174.52,162.01,163.93,134919.67,22816696.04,force_direct,
2020-01-18,174.06,179.32,164.92,169.59,113052.32,19587339.32,force_direct,
2020-01-19,166.75,178.0,161.7,174.06,113433.69,19215201.05,force_direct,
2020-01-20,166.68,169.3,161.1,166.75,66340.77,10971433.97,force_direct,
2020-01-21,169.19,170.0,164.28,166.68,61518.5,10297632.09,force_direct,
2020-01-22,167.68,171.05,165.65,169.19,49452.52,8307208.49,force_direct,
2020-01-23,162.4,167.79,158.44,167.68,69309.04,11257887.82,force_direct,
2020-01-24,162.3,164.21,154.48,162.4,88510.1,14141682.98,force_direct,
2020-01-25,160.12,162.41,157.4,162.3,36677.52,5861782.41,force_direct,
2020-01-26,167.35,167.59,159.09,160.12,44653.74,7318468.23,force_direct,
2020-01-27,169.77,171.7,164.89,167.35,84463.88,14261088.19,force_direct,
2020-01-28,175.99,176.5,169.77,169.77,102264.17,17618176.4,force_direct,
2020-01-29,173.45,178.31,173.13,175.99,85409.92,15039259.33,force_direct,
2020-01-30,184.55,186.89,170.0,173.45,104426.47,18582957.59,force_direct,
2020-01-31,179.74,185.68,175.0,184.55,108639.78,19556960.99,force_direct,
2020-02-01,183.5,184.2,179.0,179.74,65650.17,11963890.4,force_direct,
2020-02-02,188.29,193.52,178.98,183.5,96138.84,18126783.1,force_direct,
2020-02-03,189.42,195.21,186.25,188.29,89093.2,16928428.42,force_direct,
2020-02-04,188.24,191.37,184.29,189.42,89059.71,16696068.21,force_direct,
2020-02-05,204.0,207.93,186.89,188.24,143938.17,28629926.46,force_direct,
2020-02-06,212.95,216.49,200.54,204.0,162316.44,34031052.39,force_direct,
2020-02-07,223.22,224.78,212.94,212.95,161651.51,35505818.26,force_direct,
2020-02-08,223.37,228.4,213.24,223.22,137475.6,30549080.87,force_direct,
2020-02-09,228.8,230.9,223.16,223.37,111211.55,25309377.86,force_direct,
2020-02-10,222.85,229.6,216.31,228.8,106485.39,23678474.62,force_direct,
2020-02-11,237.98,239.92,217.83,222.85,174444.86,39879195.31,force_direct,
2020-02-12,266.49,276.15,237.95,237.98,293996.35,75917829.43,force_direct,
2020-02-13,268.42,278.01,253.75,266.49,264197.25,70891856.15,force_direct,
2020-02-14,286.27,287.98,260.13,268.42,191566.74,52604778.63,force_direct,
2020-02-15,264.92,290.0,261.35,286.27,251243.79,68880237.53,force_direct,
2020-02-16,258.5,274.0,236.37,264.92,248679.14,63959013.75,force_direct,
2020-02-17,268.03,269.0,242.36,258.5,204959.48,51916433.75,force_direct,
2020-02-18,283.31,286.87,259.24,268.03,211662.71,58054775.68,force_direct,
2020-02-19,258.66,287.13,250.0,283.31,239803.85,65445508.13,force_direct,
2020-02-20,257.4,264.26,245.25,258.66,203271.52,52172619.74,force_direct,
2020-02-21,265.8,268.71,254.1,257.4,136892.25,35910440.94,force_direct,
2020-02-22,262.08,267.04,256.3,265.8,63814.59,16692414.62,force_direct,
2020-02-23,275.48,276.62,261.53,262.08,104405.14,28255546.35,force_direct,
2020-02-24,265.31,278.13,256.06,275.48,197775.67,52927346.5,force_direct,
2020-02-25,246.5,266.24,244.44,265.31,152709.51,38777792.31,force_direct,
2020-02-26,223.5,250.84,215.33,246.5,404352.62,93132075.07,force_direct,
2020-02-27,227.63,239.0,209.26,223.5,342714.18,77047233.69,force_direct,
2020-02-28,227.37,234.9,213.63,227.63,258340.99,58016327.05,force_direct,
2020-02-29,217.31,233.32,216.83,227.37,93401.32,21113563.51,force_direct,
2020-03-01,217.26,227.99,211.5,217.31,144339.91,31642542.94,force_direct,
2020-03-02,232.12,234.5,215.75,217.26,189047.53,42726830.18,force_direct,
2020-03-03,223.75,232.92,220.0,232.12,173987.91,39342745.7,force_direct,
2020-03-04,224.56,228.83,220.39,223.75,106846.76,23974387.13,force_direct,
2020-03-05,228.64,234.47,224.49,224.56,160025.92,36791683.28,force_direct,
2020-03-06,245.56,245.84,227.77,228.64,140307.21,33241116.52,force_direct,
2020-03-07,237.75,253.01,236.67,245.56,147025.87,35798854.13,force_direct,
2020-03-08,199.46,237.75,196.0,237.75,293962.4,63704084.93,force_direct,
2020-03-09,202.77,208.65,189.85,199.46,461839.13,92176767.83,force_direct,
2020-03-10,200.5,206.28,195.17,202.77,184956.94,37273515.57,force_direct,
2020-03-11,194.61,202.98,181.0,200.5,240340.21,45996567.04,force_direct,
2020-03-12,110.3,195.64,101.22,194.61,1290935.35,182562038.0,force_direct,
2020-03-13,135.51,148.0,90.0,110.3,1322282.98,161351961.08,force_direct,
2020-03-14,122.17,135.9,120.71,135.51,284672.86,36574488.43,force_direct,
2020-03-15,123.3,134.1,119.84,122.17,438391.84,54663819.13,force_direct,
2020-03-16,111.38,123.75,100.5,123.3,891238.58,98815961.65,force_direct,
2020-03-17,116.09,121.49,109.66,111.38,418552.56,48963213.33,force_direct,
2020-03-18,118.6,118.88,110.18,116.09,306306.61,35259566.32,force_direct,
2020-03-19,136.68,144.44,115.72,118.6,486951.21,63809117.4,force_direct,
2020-03-20,133.27,154.0,115.51,136.68,626525.45,85455213.77,force_direct,
2020-03-21,132.79,137.64,125.84,133.27,259380.31,34286497.13,force_direct,
2020-03-22,122.42,137.38,120.9,132.79,261957.09,33517968.3,force_direct,
2020-03-23,137.0,138.0,119.2,122.42,392334.34,50962543.87,force_direct,
2020-03-24,139.0,144.16,133.04,137.0,328276.63,45295905.59,force_direct,
2020-03-25,136.26,142.79,132.5,139.0,228043.63,31246060.72,force_direct,
2020-03-26,139.0,140.36,133.52,136.26,168611.8,22976463.14,force_direct,
2020-03-27,131.56,142.5,130.0,139.0,173786.92,23870927.63,force_direct,
2020-03-28,131.35,133.8,125.01,131.56,172811.94,22247833.56,force_direct,
2020-03-29,124.35,132.18,123.72,131.35,93067.42,11855875.19,force_direct,
2020-03-30,132.32,135.48,124.05,124.35,154018.24,20286273.84,force_direct,
2020-03-31,133.08,135.35,130.45,132.32,86613.23,11514670.35,force_direct,
2020-04-01,136.14,137.4,128.6,133.08,99102.52,13108807.18,force_direct,
2020-04-02,141.53,150.5,135.5,136.14,214501.14,30264546.78,force_direct,
2020-04-03,141.54,146.81,138.0,141.53,120557.43,17186501.4,force_direct,
2020-04-04,144.48,146.69,139.04,141.54,85410.11,12191102.57,force_direct,
2020-04-05,142.79,145.98,140.81,144.48,64777.9,9284491.5,force_direct,
2020-04-06,171.5,172.19,142.79,142.79,398555.26,63164805.65,force_direct,
2020-04-07,164.57,176.82,161.47,171.5,533130.95,90365371.67,force_direct,
2020-04-08,173.36,174.77,163.49,164.57,192588.6,32755891.91,force_direct,
2020-04-09,169.75,173.55,165.32,173.36,165254.8,28119130.83,force_direct,
2020-04-10,158.1,170.39,152.3,169.75,258810.17,41243560.8,force_direct,
2020-04-11,158.55,161.5,154.2,158.1,96587.83,15280107.94,force_direct,
2020-04-12,158.87,165.45,155.31,158.55,133037.62,21491319.48,force_direct,
2020-04-13,156.76,159.44,149.7,158.87,233848.98,36027708.57,force_direct,
2020-04-14,158.65,163.0,155.56,156.76,198839.23,31678215.7,force_direct,
2020-04-15,152.77,161.5,152.17,158.65,142489.51,22407537.34,force_direct,
2020-04-16,172.55,175.2,148.08,152.77,376129.26,62704254.63,force_direct,
2020-04-17,170.89,175.1,168.5,172.55,136537.59,23350820.9,force_direct,
2020-04-18,187.88,191.22,170.69,170.89,320092.58,58547870.24,force_direct,
2020-04-19,180.39,189.92,176.53,187.88,194900.14,35612478.08,force_direct,
2020-04-20,170.5,186.67,166.4,180.39,280053.97,49363537.65,force_direct,
2020-04-21,171.07,174.93,168.44,170.5,169875.07,29199462.87,force_direct,
2020-04-22,183.11,184.41,170.02,171.07,178433.48,31961304.38,force_direct,
2020-04-23,185.66,194.86,178.44,183.11,271745.33,50765128.67,force_direct,
2020-04-24,187.84,189.91,184.97,185.66,125300.67,23524990.6,force_direct,
2020-04-25,194.42,198.2,185.97,187.84,147021.91,28436716.67,force_direct,
2020-04-26,197.83,200.0,192.54,194.42,134905.32,26433813.06,force_direct,
2020-04-27,196.78,199.41,189.6,197.83,165536.0,32256661.16,force_direct,
2020-04-28,196.67,197.95,192.5,196.78,105608.42,20663752.95,force_direct,
2020-04-29,215.66,219.59,196.64,196.67,377357.29,79180576.94,force_direct,
