time,open,high,low,close,volumefrom,volumeto,MA7,MA21,EMA,RSI,day_of_week,month
2019-08-20,202.32,202.81,194.52,196.56,62215.84,12312093.99,191.28142857142856,209.3185714285714,205.79895845897596,33.20702721322769,1,8
2019-08-21,196.56,197.17,180.0,187.37,105456.8,19795609.66,191.43428571428575,207.82666666666665,204.0438195581211,30.040511062636327,2,8
2019-08-22,187.37,195.11,182.53,190.41,77023.07,14576603.87,191.75,206.5342857142857,202.74536055258577,33.88464800678541,3,8
2019-08-23,190.41,196.66,188.56,194.59,85533.19,16495686.43,193.08285714285716,205.42904761904762,201.9686595475776,41.072849187407655,4,8
2019-08-24,194.59,194.59,186.02,190.89,43117.72,8188976.22,193.83999999999997,203.94095238095238,200.91354911447496,41.30757800891529,5,8
2019-08-25,190.89,192.76,182.04,186.59,42924.72,8043611.55,192.6757142857143,202.21619047619046,199.54940157976307,31.99315654405474,6,8
2019-08-26,186.59,194.28,185.51,188.3,69639.14,13198834.35,190.67285714285714,200.08761904761906,198.47803000073802,35.42037084074168,0,8
2019-08-27,188.3,189.0,184.33,186.94,42652.0,7957856.19,189.29857142857145,198.23666666666668,197.37917000066773,36.0242831309739,1,8
2019-08-28,186.94,187.92,165.9,172.79,115048.02,20190520.52,187.21571428571428,195.71238095238095,195.03734428631842,40.251118487516216,2,8
2019-08-29,172.79,173.51,163.57,168.82,94511.91,15967728.49,184.1314285714286,193.23666666666665,192.5404543542881,36.420964125560545,3,8
2019-08-30,168.82,170.43,165.3,168.4,60991.56,10273402.71,180.39000000000001,191.24142857142857,190.24136346340353,37.75421266705404,4,8
2019-08-31,168.4,175.0,165.5,171.93,38474.87,6520879.9,177.68142857142857,189.61428571428573,188.49742408593653,40.51915602443088,5,8
2019-09-01,171.93,173.98,168.03,171.29,41984.88,7195895.77,175.49571428571426,187.48238095238096,186.8586217920378,31.54415236895953,6,9
2019-09-02,171.29,181.78,170.54,178.8,60890.77,10713948.3,174.13857142857142,185.93666666666667,186.09113400231993,31.468641664040362,0,9
2019-09-03,178.8,183.15,174.2,178.96,76512.2,13740971.04,172.99857142857147,184.52619047619046,185.41197838305138,34.79087452471484,1,9
2019-09-04,178.96,180.33,173.29,174.82,58944.58,10418303.47,173.28857142857143,183.9795238095238,184.40321853704648,38.117780723347856,2,9
2019-09-05,174.82,175.82,168.82,174.0,54459.53,9420574.9,174.02857142857144,183.30333333333334,183.41243581923254,33.78137971931213,3,9
2019-09-06,174.0,178.45,164.99,169.2,79408.28,13671143.62,174.14285714285714,182.53857142857143,182.05887050311514,25.209919937512225,4,9
2019-09-07,169.2,181.07,168.38,178.08,59067.83,10382838.68,175.02142857142857,182.18095238095236,181.6799304551994,38.6416031211208,5,9
2019-09-08,178.08,184.73,176.01,181.56,74954.61,13590051.51,176.48857142857145,181.55333333333334,181.6685085070852,45.474176714054344,6,9
2019-09-09,181.56,186.0,176.11,180.63,65713.85,11882285.69,176.75,180.5204761904762,181.56960293498184,43.00054754517247,0,9
2019-09-10,180.63,184.55,176.6,179.64,46977.59,8468817.66,176.84714285714284,179.71476190476193,181.38583122688834,43.29290701947813,1,9
2019-09-11,179.64,182.49,173.7,178.3,59154.86,10520154.2,177.3442857142857,179.28285714285715,181.09194253861327,56.62100456621006,2,9
2019-09-12,178.3,182.66,176.46,181.09,32447.48,5814088.62,178.35714285714286,178.83904761904762,181.09175753493582,65.17437546376453,3,9
2019-09-13,181.09,181.85,177.57,181.65,51330.32,9234765.89,180.1357142857143,178.22285714285715,181.14492348398954,66.32980034508256,4,9
2019-09-14,181.65,189.32,180.4,188.85,59593.51,11047470.74,181.67428571428573,178.12571428571428,181.87874029503817,69.12296564195296,5,9
2019-09-15,188.85,190.99,186.3,189.3,69949.06,13203815.6,182.78,178.25476190476192,182.58552693360596,70.44267877412032,6,9
2019-09-16,189.3,199.55,188.23,197.59,112064.05,21674692.09,185.2028571428571,178.69714285714286,184.01452436850064,70.95694847200534,0,9
2019-09-17,197.59,215.0,195.67,207.95,180307.36,36821653.12,189.24714285714285,179.69761904761904,186.29409347626247,76.34017808468107,1,9
2019-09-18,207.95,217.49,207.5,210.27,111866.08,23796697.35,193.81428571428572,181.48238095238096,188.57751314518987,83.31140763014471,2,9
2019-09-19,210.27,224.71,200.98,220.8,167317.16,35524926.14,199.48714285714283,183.95761904761906,191.64632141707654,87.19008264462809,3,9
2019-09-20,220.8,222.38,212.0,218.06,91581.94,19883808.53,204.68857142857146,186.32238095238094,194.16190985354544,90.14130791981597,4,9
2019-09-21,218.06,221.61,213.35,214.8,65798.84,14272480.66,208.3957142857143,188.36380952380952,196.12744224844587,83.23678493845041,5,9
2019-09-22,214.8,215.45,206.02,211.1,64814.29,13619888.25,211.51,190.2595238095238,197.55340012954628,76.63180670753695,6,9
2019-09-23,211.1,211.6,198.18,200.8,92705.0,19015106.03,211.96857142857147,191.30714285714288,197.86260011720853,65.55606972080828,0,9
2019-09-24,200.8,202.72,157.75,166.26,405426.95,71299065.19,206.01285714285717,190.70238095238096,194.85282867747438,43.19983736531816,1,9
2019-09-25,166.26,175.25,162.25,170.0,183524.37,30922350.88,200.26000000000002,190.47285714285712,192.485892612953,45.88211946814844,2,9
2019-09-26,170.0,171.0,152.11,165.85,188006.85,30675680.82,192.41,190.0847619047619,189.9491409355289,42.53965145878207,3,9
2019-09-27,165.85,177.24,161.19,174.44,109649.44,18389300.35,186.17857142857142,190.33428571428573,188.47207989404995,46.72778433330307,4,9
2019-09-28,174.44,176.0,168.21,173.9,75406.27,13058468.91,180.33571428571426,190.1352380952381,187.0842627612833,42.77847550961261,5,9
2019-09-29,173.9,175.26,164.34,169.38,72173.97,12216924.83,174.3757142857143,189.55523809523808,185.39814249830394,40.741773563859454,6,9
2019-09-30,169.38,181.85,165.2,181.17,126949.57,21972995.34,171.57142857142858,189.5809523809524,184.99546226037023,42.60893050054015,0,9
2019-10-01,181.17,185.89,173.85,176.15,97883.39,17613857.27,172.98428571428573,189.41476190476192,184.1530372831921,34.963117079629285,1,10
2019-10-02,176.15,181.66,174.15,180.82,73539.94,13016900.97,174.53,189.5347619047619,183.83560516098333,36.37709316310481,2,10
2019-10-03,180.82,181.26,169.59,175.05,70968.27,12429089.24,175.84428571428572,189.24714285714285,182.99888085993732,27.862189102874282,3,10
2019-10-04,175.05,179.69,170.77,175.97,52275.85,9167136.95,176.06285714285715,188.97666666666666,182.32946363518138,29.268052408629686,4,10
2019-10-05,175.97,177.05,172.27,176.73,32009.69,5603902.15,176.46714285714285,188.3995238095238,181.79618138421174,30.774669225330754,5,10
2019-10-06,176.73,177.12,167.5,170.18,57631.7,9908833.47,176.5814285714286,187.48904761904765,180.6898783952392,29.913606911447076,6,10
2019-10-07,170.18,182.5,168.61,180.26,90340.81,15989026.85,176.45142857142858,186.66380952380953,180.6489375956926,39.89571035025579,0,10
2019-10-08,180.26,185.3,177.42,180.72,67362.24,12185166.51,177.1042857142857,185.36714285714285,180.65570544372187,60.701598579040876,1,10
2019-10-09,180.72,196.09,179.2,193.26,147160.11,27810134.27,178.8814285714286,184.55714285714285,181.8561144490817,65.23048716605554,2,10
2019-10-10,193.26,194.85,187.29,191.79,86674.14,16601361.12,181.27285714285716,183.1757142857143,182.8021987872644,67.60314875135724,3,10
2019-10-11,191.79,197.93,179.23,180.84,121748.84,22694986.5,181.96857142857144,181.40333333333334,182.61532271228683,54.208311415044726,4,10
