timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-12-22T00:00:00.000Z";"2024-12-22T23:59:59.999Z";"2024-12-22T09:49:00.000Z";"2024-12-22T20:12:00.000Z";"2781";0.3209042916;0.3240319184;0.3057178135;0.3121923274;4115525340.58;45990706197.03;"2024-12-22T23:59:59.999Z"
"2024-12-21T00:00:00.000Z";"2024-12-21T23:59:59.999Z";"2024-12-21T07:44:00.000Z";"2024-12-21T00:20:00.000Z";"2781";0.3177185939;0.3494056472;0.3152487942;0.3209511024;6875286934.43;47268777400.19;"2024-12-21T23:59:59.999Z"
"2024-12-20T00:00:00.000Z";"2024-12-20T23:59:59.999Z";"2024-12-20T02:55:00.000Z";"2024-12-20T11:46:00.000Z";"2781";0.3150535405;0.3280571259;0.2644403486;0.3177129903;11414899319.26;46795201020.84;"2024-12-20T23:59:59.999Z"
"2024-12-19T00:00:00.000Z";"2024-12-19T23:59:59.999Z";"2024-12-19T10:50:00.000Z";"2024-12-19T20:14:00.000Z";"2781";0.3580465141;0.3670362422;0.3027687249;0.3150659477;9565836572.51;46398400054.15;"2024-12-19T23:59:59.999Z"
"2024-12-18T00:00:00.000Z";"2024-12-18T23:59:59.999Z";"2024-12-18T00:19:00.000Z";"2024-12-18T20:12:00.000Z";"2781";0.3943410959;0.3961633073;0.3564941805;0.3580386425;5749656033.32;52725144245.7;"2024-12-18T23:59:59.999Z"
"2024-12-17T00:00:00.000Z";"2024-12-17T23:59:59.999Z";"2024-12-17T13:55:00.000Z";"2024-12-17T23:13:00.000Z";"2781";0.4019345929;0.4098993369;0.3915962525;0.394337451;3618256202.83;58064433818.84;"2024-12-17T23:59:59.999Z"
"2024-12-16T00:00:00.000Z";"2024-12-16T23:59:59.999Z";"2024-12-16T00:52:00.000Z";"2024-12-16T11:59:00.000Z";"2781";0.4062948711;0.4135943924;0.3927359372;0.4019340807;3891164218.82;59177017571.6;"2024-12-16T23:59:59.999Z"
"2024-12-15T00:00:00.000Z";"2024-12-15T23:59:59.999Z";"2024-12-15T23:28:00.000Z";"2024-12-15T07:46:00.000Z";"2781";0.3979720394;0.4098347389;0.3929085113;0.4062723233;2654366167.41;59813372428.84;"2024-12-15T23:59:59.999Z"
"2024-12-14T00:00:00.000Z";"2024-12-14T23:59:59.999Z";"2024-12-14T01:29:00.000Z";"2024-12-14T18:57:00.000Z";"2781";0.4090808523;0.4127538021;0.3881394933;0.3979755787;3165759137.24;58582672703.29;"2024-12-14T23:59:59.999Z"
"2024-12-13T00:00:00.000Z";"2024-12-13T23:59:59.999Z";"2024-12-13T15:02:00.000Z";"2024-12-13T01:26:00.000Z";"2781";0.406548219;0.4116874319;0.3998616764;0.4090808523;3815608761.17;60212330995.03;"2024-12-13T23:59:59.999Z"
"2024-12-12T00:00:00.000Z";"2024-12-12T23:59:59.999Z";"2024-12-12T05:41:00.000Z";"2024-12-12T19:59:00.000Z";"2781";0.4144945245;0.4233588992;0.4017441041;0.406548146;5601004924.61;59833964400.82;"2024-12-12T23:59:59.999Z"
"2024-12-11T00:00:00.000Z";"2024-12-11T23:59:59.999Z";"2024-12-11T22:11:00.000Z";"2024-12-11T02:05:00.000Z";"2781";0.3945122944;0.4187884424;0.3766333436;0.4144919301;6670843571.07;60997758821.44;"2024-12-11T23:59:59.999Z"
