time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-07-03,11976.42,12014.6,10829.18,10829.18,38216.68,434941050.21,force_direct,
2019-07-04,11136.0,12064.26,11035.01,11976.42,22601.37,263979720.44,force_direct,
2019-07-05,11004.51,11449.51,10761.8,11136.0,20737.38,230068118.11,force_direct,
2019-07-06,11237.77,11723.6,10980.09,11004.51,15612.78,178089369.12,force_direct,
2019-07-07,11474.42,11620.0,11084.31,11237.77,11293.23,128263054.21,force_direct,
2019-07-08,12293.53,12395.0,11328.01,11474.42,20423.56,244364579.39,force_direct,
2019-07-09,12571.11,12829.96,12105.32,12293.53,27431.42,342841957.48,force_direct,
2019-07-10,12097.96,13202.63,11553.21,12571.11,41379.84,516738072.12,force_direct,
2019-07-11,11349.0,12097.96,10933.0,12097.96,37301.32,429097842.06,force_direct,
2019-07-12,11802.0,11950.0,11079.59,11349.0,18541.25,214492517.85,force_direct,
2019-07-13,11370.08,11845.0,10814.4,11802.0,18417.6,208037975.94,force_direct,
2019-07-14,10185.03,11467.27,10084.4,11370.08,25829.61,275673684.2,force_direct,
2019-07-15,10854.47,11080.01,9857.27,10185.03,34137.37,354270552.53,force_direct,
2019-07-16,9422.72,11040.0,9350.0,10854.47,43610.38,436554206.79,force_direct,
2019-07-17,9696.31,9998.0,9071.0,9422.72,35319.41,337337454.27,force_direct,
2019-07-18,10649.07,10799.0,9291.0,9696.31,33044.5,335069482.7,force_direct,
2019-07-19,10538.06,10777.21,10111.0,10649.07,19825.72,207229444.28,force_direct,
2019-07-20,10761.03,11112.31,10360.65,10538.06,18390.49,197472891.11,force_direct,
2019-07-21,10590.7,10835.0,10320.0,10761.03,11939.87,126161434.84,force_direct,
2019-07-22,10323.39,10688.14,10060.0,10590.7,15798.93,163479474.66,force_direct,
2019-07-23,9840.12,10324.28,9800.23,10323.39,18060.89,181088112.79,force_direct,
2019-07-24,9772.6,9919.08,9507.38,9840.12,18264.51,177044222.78,force_direct,
2019-07-25,9883.33,10184.99,9734.58,9772.6,13297.27,133146192.21,force_direct,
2019-07-26,9843.0,9898.03,9657.21,9883.33,10732.61,104928858.7,force_direct,
2019-07-27,9479.98,10248.41,9292.0,9843.0,18982.08,183269613.83,force_direct,
2019-07-28,9533.0,9669.11,9108.88,9479.98,10054.75,94866507.3,force_direct,
2019-07-29,9495.01,9729.87,9356.75,9533.0,10565.17,100638089.8,force_direct,
2019-07-30,9589.01,9839.83,9371.96,9495.01,9411.16,90120915.8,force_direct,
2019-07-31,10087.3,10135.12,9570.01,9589.01,12849.74,127392173.03,force_direct,
2019-08-01,10405.94,10497.0,9881.0,10087.3,14432.57,146637118.42,force_direct,
2019-08-02,10533.01,10670.0,10321.42,10405.94,13217.84,138486426.48,force_direct,
2019-08-03,10820.76,10922.08,10500.0,10533.01,10082.36,108558480.64,force_direct,
2019-08-04,10977.51,11089.74,10572.0,10820.76,11813.67,128261789.71,force_direct,
2019-08-05,11819.49,11950.0,10977.51,10977.51,23345.2,271827290.04,force_direct,
2019-08-06,11465.49,12320.4,11187.0,11819.49,24773.05,290636159.0,force_direct,
2019-08-07,11975.03,12147.0,11366.26,11465.49,22145.49,260886518.92,force_direct,
2019-08-08,11981.0,12050.0,11451.0,11975.03,14887.11,175096475.65,force_direct,
2019-08-09,11856.1,12040.0,11651.89,11981.0,11774.52,139265612.83,force_direct,
2019-08-10,11280.95,11969.99,11170.0,11856.1,13852.25,158766694.33,force_direct,
2019-08-11,11540.76,11585.0,11088.88,11280.95,7329.59,83345771.68,force_direct,
2019-08-12,11389.28,11555.55,11222.4,11540.76,6095.28,69403119.37,force_direct,
2019-08-13,10854.92,11438.39,10746.0,11389.28,12500.34,137652572.5,force_direct,
2019-08-14,10025.86,10859.97,9888.88,10854.92,24889.58,257559660.93,force_direct,
2019-08-15,10300.01,10445.0,9470.0,10025.86,27939.83,278941692.76,force_direct,
2019-08-16,10352.78,10539.9,9739.99,10300.01,19532.6,198853384.83,force_direct,
2019-08-17,10217.79,10475.82,9978.0,10352.78,7308.0,74839686.49,force_direct,
2019-08-18,10315.48,10513.45,10066.66,10217.79,6794.78,70214743.56,force_direct,
2019-08-19,10920.0,10938.76,10265.0,10315.48,12220.39,130240108.95,force_direct,
2019-08-20,10769.09,10953.0,10555.7,10920.0,8820.94,94820017.47,force_direct,
2019-08-21,10130.0,10800.0,9841.59,10769.09,17445.29,177446467.8,force_direct,
2019-08-22,10107.15,10237.53,9759.0,10130.0,10912.34,109185666.88,force_direct,
2019-08-23,10410.85,10478.0,10035.84,10107.15,9413.53,97228393.72,force_direct,
2019-08-24,10147.96,10429.0,9886.26,10410.85,7987.21,80651686.95,force_direct,
2019-08-25,10138.72,10374.85,9899.95,10147.96,7288.06,73504540.21,force_direct,
2019-08-26,10361.65,10680.0,10138.72,10138.72,14125.38,146856102.1,force_direct,
2019-08-27,10171.85,10379.87,10019.56,10361.65,7514.29,76385410.55,force_direct,
2019-08-28,9714.31,10277.0,9522.93,10171.85,17637.07,174087445.01,force_direct,
2019-08-29,9495.0,9717.03,9321.73,9714.31,14421.7,137035492.16,force_direct,
2019-08-30,9582.42,9699.0,9337.97,9495.0,8734.15,83293314.52,force_direct,
2019-08-31,9600.86,9707.48,9436.2,9582.42,4057.2,38892832.81,force_direct,
2019-09-01,9766.52,9840.0,9539.58,9600.86,4200.85,40619645.87,force_direct,
2019-09-02,10381.26,10486.77,9756.54,9766.52,11794.06,119412211.98,force_direct,
2019-09-03,10628.48,10790.0,10280.0,10381.26,15518.02,164040860.03,force_direct,
2019-09-04,10581.84,10833.14,10380.0,10628.48,12180.83,128758763.93,force_direct,
2019-09-05,10574.73,10666.43,10452.15,10581.84,7432.48,78437107.34,force_direct,
2019-09-06,10308.92,10939.34,10182.0,10574.73,15732.6,166427823.14,force_direct,
2019-09-07,10484.37,10580.0,10304.52,10308.92,4381.36,45787147.47,force_direct,
2019-09-08,10398.97,10595.0,10231.13,10484.37,4915.57,51198309.8,force_direct,
2019-09-09,10310.0,10541.75,10059.99,10398.97,9745.07,100305308.95,force_direct,
2019-09-10,10093.01,10389.26,9916.0,10310.0,8098.58,82161791.32,force_direct,
2019-09-11,10160.2,10297.12,9851.97,10093.01,8374.04,84201052.38,force_direct,
2019-09-12,10423.72,10460.0,10040.0,10160.2,7625.25,78381561.17,force_direct,
